route_code,id,latitude,longitude,timestamp
1563397276221,2519,58.37809166666667,26.72629166666667,2019-07-18 00:01:53+00:00
1563397276221,2519,58.40162166666666,26.722241666666665,2019-07-18 01:08:33+00:00
1563397285255,2477,58.37424,26.714811666666662,2019-07-18 00:02:02+00:00
1563397285255,2477,58.35343666666667,26.684795,2019-07-18 00:21:12+00:00
1563397320473,2127,58.37735,26.7306,2019-07-18 00:02:22+00:00
1563397320473,2127,58.37735,26.7306,2019-07-18 00:02:37+00:00
1563397371594,2140,58.378481666666666,26.745248333333333,2019-07-18 00:03:29+00:00
1563397371594,2140,58.378481666666666,26.745248333333333,2019-07-18 00:05:14+00:00
1563397378648,2266,58.37784666666667,26.741955,2019-07-18 00:03:36+00:00
1563397378648,2266,58.37788333333334,26.75192333333333,2019-07-18 00:25:56+00:00
1563397410209,2586,58.376748333333325,26.730236666666663,2019-07-18 00:04:07+00:00
1563397410209,2586,58.374028333333335,26.72239,2019-07-18 00:07:52+00:00
1563397430339,2205,58.364998333333325,26.72057,2019-07-18 00:04:27+00:00
1563397430339,2205,58.363715,26.706856666666667,2019-07-18 00:10:07+00:00
1563397457923,2698,58.376295,26.728615,2019-07-18 00:04:51+00:00
1563397457923,2698,58.36516666666667,26.72126833333333,2019-07-18 00:12:31+00:00
1563397464567,2543,58.38218333333333,26.714405,2019-07-18 00:05:02+00:00
1563397464567,2543,58.357523333333326,26.72167333333333,2019-07-18 00:27:37+00:00
1563397474033,2390,58.38116,26.72729333333333,2019-07-18 00:04:58+00:00
1563397474033,2390,58.38116,26.72729333333333,2019-07-18 00:05:13+00:00
1563397541580,2098,58.37853666666666,26.74521333333333,2019-07-18 00:06:17+00:00
1563397541580,2098,58.375858333333326,26.69757166666667,2019-07-18 00:18:07+00:00
1563397566442,2299,58.377693333333326,26.726411666666667,2019-07-18 00:06:46+00:00
1563397566442,2299,58.39367833333333,26.74334333333333,2019-07-18 00:55:21+00:00
1563397575835,2390,58.38156666666666,26.728931666666668,2019-07-18 00:06:53+00:00
1563397575835,2390,58.37664,26.764115,2019-07-18 00:55:28+00:00
1563397578259,2131,58.37847833333333,26.745256666666663,2019-07-18 00:06:59+00:00
1563397578259,2131,58.37573666666666,26.697391666666668,2019-07-18 00:18:09+00:00
1563397596033,2455,58.37847,26.745301666666663,2019-07-18 00:07:14+00:00
1563397596033,2455,58.372473333333325,26.779636666666665,2019-07-18 00:17:09+00:00
1563397614720,2127,58.37735,26.7306,2019-07-18 00:07:27+00:00
1563397614720,2127,58.37735,26.7306,2019-07-18 00:07:42+00:00
1563397699151,2451,58.373323333333325,26.720758333333333,2019-07-18 00:08:55+00:00
1563397699151,2451,58.366766666666656,26.694098333333333,2019-07-18 00:49:10+00:00
1563397803123,2278,58.38355666666666,26.73699833333333,2019-07-18 00:10:39+00:00
1563397803123,2278,58.37670666666666,26.76365333333333,2019-07-18 00:55:14+00:00
1563397828899,2205,58.36313666666666,26.705963333333333,2019-07-18 00:11:07+00:00
1563397828899,2205,58.36338,26.70667333333333,2019-07-18 00:47:32+00:00
1563397906275,2296,58.37392166666666,26.75241833333333,2019-07-18 00:12:23+00:00
1563397906275,2296,58.37697666666666,26.68359166666667,2019-07-18 00:32:08+00:00
1563398037060,2119,58.378085,26.7263,2019-07-18 00:14:34+00:00
1563398037060,2119,58.373855,26.752316666666665,2019-07-18 00:31:19+00:00
1563398071758,2230,58.38225166666666,26.714268333333333,2019-07-18 00:15:13+00:00
1563398071758,2230,58.382828333333336,26.72065333333333,2019-07-18 00:37:18+00:00
1563398119086,2698,58.36450666666666,26.720971666666667,2019-07-18 00:15:56+00:00
1563398119086,2698,58.3501,26.72289,2019-07-18 00:21:01+00:00
1563398137078,2127,58.37735,26.7306,2019-07-18 00:16:12+00:00
1563398137078,2127,58.37735,26.7306,2019-07-18 00:16:47+00:00
1563398162655,2495,58.37696833333333,26.733056666666663,2019-07-18 00:16:40+00:00
1563398162655,2495,58.380093333333335,26.721053333333334,2019-07-18 01:11:25+00:00
1563398205947,2233,58.37697833333333,26.733041666666665,2019-07-18 00:17:25+00:00
1563398205947,2233,58.38004,26.72103333333333,2019-07-18 01:11:20+00:00
1563398231104,2792,58.37392166666666,26.707828333333328,2019-07-18 00:17:49+00:00
1563398231104,2792,58.36525833333334,26.721281666666663,2019-07-18 00:46:09+00:00
1563398245023,2620,58.3767,26.733375,2019-07-18 00:18:04+00:00
1563398245023,2620,58.379938333333335,26.720925,2019-07-18 01:14:44+00:00
1563398293919,2188,58.383305,26.72779333333333,2019-07-18 00:18:49+00:00
1563398293919,2188,58.364415,26.739985,2019-07-18 00:41:19+00:00
