id,longitude,latitude,clase
0,9.29580846,23.69938574,0
1,12.83113937,13.06713831,0
2,10.66762192,24.49537195,0
3,9.12321134,21.72054252,0
4,10.13880858,26.73495973,0
5,11.16183516,20.87060912,0
6,10.05700713,23.35302763,0
7,11.01323187,21.72980987,0
8,12.37393066,14.72868737,0
9,13.28112767,14.87777891,0
10,11.50900225,23.93116596,0
11,10.9492304,15.65343053,0
12,10.21815956,23.69028961,0
13,12.18856476,22.76214673,0
14,8.39940909,25.75655987,0
15,11.11899731,26.51962659,0
16,11.57655632,17.95034989,0
17,10.39805287,13.9508121,0
18,10.82632483,21.71838458,0
19,9.43329031,13.85161571,0
20,9.43543303,16.80033467,0
21,11.94522287,18.9421739,0
22,10.99613502,27.26565376,0
23,10.09706141,23.61434334,0
24,10.48318722,21.14479861,0
25,10.04849785,25.66264204,0
26,12.04380881,19.65469747,0
27,13.06271633,14.46593931,0
28,11.38045663,17.11158783,0
29,9.47869509,24.99287405,0
30,11.49469094,21.53427431,0
31,10.78697201,26.24072139,0
32,10.96159599,11.86425029,0
33,10.80672157,11.21835633,0
34,10.32619897,24.76002943,0
35,10.63814751,25.16779023,0
36,11.23973357,13.38985083,0
37,10.47726244,25.57688808,0
38,12.47749812,22.63669603,0
39,9.24174047,12.28614887,0
40,9.97184388,23.91877686,0
41,12.82342821,12.75704207,0
42,10.07153233,16.15917275,0
43,11.61220682,21.72141399,0
44,10.76972086,15.30266404,0
45,10.81667098,13.66275368,0
46,11.53589808,20.24968643,0
47,10.78655453,19.82939271,0
48,10.89967162,16.33306968,0
49,8.97826044,26.09776585,0
50,11.82195081,22.08779727,0
51,10.17639275,19.28704917,0
52,11.40416431,17.25434459,0
53,9.80830534,16.47716953,0
54,11.24249944,14.88301687,0
55,9.9441519,18.90682427,0
56,11.02315595,20.25002107,0
57,10.63357083,20.5488592,0
58,9.97144511,24.54398666,0
59,10.81651181,16.72904764,0
60,11.16236736,17.84005707,0
61,10.54902072,12.93890852,0
62,9.49315857,20.32508017,0
63,13.08411973,21.66340163,0
64,9.77898307,20.23757045,0
65,11.65090938,27.23517213,0
66,10.88270182,13.18968882,0
67,10.60949858,22.77542284,0
68,11.8094269,21.34361316,0
69,9.8322776,16.65173046,0
70,11.33114959,12.52442914,0
71,11.15473601,17.16619778,0
72,11.7118889,25.82251046,0
73,11.07012092,12.44664031,0
74,11.39675793,16.37177915,0
75,10.56301974,24.87680692,0
76,11.51182205,21.00639061,0
77,11.93301828,16.18816198,0
78,10.34122033,18.28508778,0
79,11.88919324,18.35899691,0
80,12.65504437,26.96284471,0
81,10.15019928,15.878991,0
82,9.76175967,12.59857204,0
83,11.33657417,24.43350044,0
84,9.82459875,18.77921261,0
85,8.5444783,24.6745531,0
86,10.98154881,21.51478562,0
87,10.84776077,22.56376618,0
88,10.15213244,21.02946482,0
89,11.5219484,19.62011699,0
90,11.04208133,22.85395826,0
91,12.32218878,21.50599905,0
92,11.36984453,24.11200349,0
93,11.3100107,19.20847964,0
94,11.12288796,19.31134942,0
95,12.99528054,17.81589516,0
96,10.18873447,11.30254191,0
97,10.80242504,12.6695795,0
98,11.09189517,13.59587157,0
99,10.49437033,17.56886177,0
100,10.00434138,20.62112795,0
101,10.93249928,17.05382978,0
102,11.69220858,22.68562546,0
103,11.2368842,20.48935931,0
104,11.19883386,24.94842705,0
105,10.65848664,16.66848486,0
106,11.56349343,14.47261524,0
107,11.05779487,13.07908117,0
108,10.28535128,24.40876803,0
109,11.75258049,17.94227214,0
110,10.87841811,25.85303775,0
111,12.36492433,12.15462914,0
112,11.20910573,24.02726623,0
113,9.92589296,15.4861305,0
114,11.12817201,22.85526413,0
115,9.38295457,15.97380194,0
116,10.52193808,23.54024083,0
117,11.25711787,26.51863789,0
118,9.76948344,16.46718953,0
119,9.36756408,23.02723134,0
120,10.71275657,26.59748242,0
121,10.4828982,18.56311761,0
122,11.87964556,14.99011221,0
123,11.78268634,22.75602856,0
124,9.25678601,26.26659327,0
125,10.11880517,19.19351842,0
126,11.97541586,12.15349264,0
127,10.71876407,21.42509587,0
128,11.13775762,21.87201992,0
129,11.81466506,10.44394199,0
130,11.29281164,22.46781715,0
131,10.23635529,19.95908584,0
132,9.58828739,23.25925959,0
133,10.82633272,17.65529418,0
134,10.01940606,22.91578186,0
135,10.68318486,13.66273436,0
136,11.11916665,20.50246366,0
137,11.56482259,21.90173882,0
138,9.59545669,19.82769561,0
139,11.30763326,26.07138653,0
140,10.42782892,29.43729693,0
141,11.25718545,13.56373957,0
142,12.54397693,13.79365574,0
143,11.48311406,15.2337292,0
144,11.9592221,18.66205028,0
145,10.35758924,25.19992218,0
146,9.82073298,20.96271978,0
147,10.7294041,16.55008135,0
148,11.94521482,16.23903489,0
149,10.93167015,24.15638194,0
150,10.76776755,19.05282227,0
151,10.46272315,16.08445265,0
152,11.71928604,25.95403577,0
153,11.25049109,15.60182563,0
154,11.11077195,21.21973862,0
155,10.22222347,25.14108489,0
156,11.28147149,10.64388517,0
157,10.21087123,18.6164922,0
158,11.70811106,18.59261341,0
159,9.73149611,24.54811178,0
160,11.10762924,15.95513956,0
161,9.14558497,24.49350496,0
162,11.75119029,17.28286768,0
163,11.09306183,22.40636794,0
164,9.23523025,24.91155968,0
165,10.44544658,22.09316647,0
166,11.0672862,26.75267816,0
167,9.42166253,26.70506286,0
168,9.36564422,20.54758286,0
169,10.77580582,20.93743929,0
170,10.655396,28.00934139,0
171,11.46590075,25.56836503,0
172,10.07351526,20.70571034,0
173,10.38732176,13.56367078,0
174,10.27865789,19.60071283,0
175,11.36337493,13.33123881,0
176,12.39095409,17.56174475,0
177,11.25380316,21.28779609,0
178,9.92097975,28.44773014,0
179,10.16636673,22.63879355,0
180,9.47205886,16.17565044,0
181,10.15659977,18.52352322,0
182,9.73705482,25.81186277,0
183,9.27817183,27.37369142,0
184,11.76844047,22.11332614,0
185,10.84983588,14.45998553,0
186,13.58145752,24.04013069,0
187,10.40302963,12.66773855,0
188,10.62293283,15.1601958,0
189,12.31665566,19.0031296,0
190,10.64030396,18.71463406,0
191,10.29275364,27.64702375,0
192,9.97145667,20.96162392,0
193,12.39412794,22.74320609,0
194,9.67804078,13.63225096,0
195,10.96359744,21.03259315,0
196,12.36565555,16.9216244,0
197,10.42295738,12.38217598,0
198,10.44856302,25.23684806,0
199,10.4784001,19.31799446,0
200,11.91807136,-6.24894017,1
201,17.96923786,0.68174577,1
202,9.59608289,-9.02304285,1
203,11.75022768,-8.13248519,1
204,10.37704828,-10.19811499,1
205,11.53896746,-6.15546141,1
206,12.81413722,-6.61496493,1
207,11.07781668,-7.14138182,1
208,17.27356723,0.55133362,1
209,14.49735154,-1.79605445,1
210,10.75936651,-5.79126632,1
211,16.88302267,-1.43726939,1
212,11.520845,-8.62166115,1
213,13.27819295,-5.07395256,1
214,8.83740207,-12.19251272,1
215,9.50944826,-8.08624501,1
216,14.7952252,-1.25363499,1
217,19.02871134,0.23461521,1
218,13.57114425,-5.71277281,1
219,15.82838191,0.28520507,1
220,16.25302249,-1.727094,1
221,13.58968632,-4.28129009,1
222,10.76730237,-8.67382872,1
223,12.10064476,-9.61723818,1
224,16.33823754,-5.11821232,1
225,11.81962695,-8.78835776,1
226,14.29023327,-5.44850607,1
227,17.20948608,0.62492992,1
228,16.13521547,-2.11826241,1
229,9.79166602,-11.58993563,1
230,12.28089042,-6.67202793,1
231,12.31652374,-6.77682844,1
232,16.50724836,1.2145355,1
233,19.26343297,1.78720815,1
234,9.60747446,-8.79892932,1
235,10.19024575,-8.07225243,1
236,15.48624701,-1.9028033,1
237,10.77370341,-8.08791611,1
238,12.2313566,-6.95632897,1
239,16.49274195,-0.11479599,1
240,9.80549674,-8.13591338,1
241,18.03520451,1.80728465,1
242,15.62918697,0.1049943,1
243,14.28878751,-6.87087903,1
244,16.89885315,0.1663147,1
245,18.82536307,0.39728238,1
246,11.66656468,-4.49370205,1
